9.057328104972839355e-01 3.150376677513122559e-01 9.816707968711853027e-01 5.593525245785713196e-02 1.117299652099609375e+01
9.662961959838867188e-01 1.097658649086952209e-01 9.857772588729858398e-01 4.502586647868156433e-02 3.218219041824340820e+00
9.718214273452758789e-01 9.268514811992645264e-02 9.886819124221801758e-01 3.717554360628128052e-02 2.257634401321411133e+00
9.740914702415466309e-01 8.676129579544067383e-02 9.881811738014221191e-01 4.125166684389114380e-02 3.184456825256347656e+00
9.755604267120361328e-01 7.842779159545898438e-02 9.855769872665405273e-01 4.229000955820083618e-02 3.212925434112548828e+00
9.772629737854003906e-01 7.398062944412231445e-02 9.885818362236022949e-01 3.854522854089736938e-02 3.275194406509399414e+00
9.774963855743408203e-01 7.315590232610702515e-02 9.870793223381042480e-01 4.014518111944198608e-02 3.257291555404663086e+00
9.788319468498229980e-01 6.906915456056594849e-02 9.888823032379150391e-01 3.747865557670593262e-02 3.917038679122924805e+00
9.811185002326965332e-01 6.269340962171554565e-02 9.888823032379150391e-01 3.488152101635932922e-02 3.410850048065185547e+00
9.799501895904541016e-01 6.516483426094055176e-02 9.889824390411376953e-01 3.565670177340507507e-02 3.360153675079345703e+00
9.810684919357299805e-01 6.342276185750961304e-02 9.878807067871093750e-01 3.841876611113548279e-02 3.135672807693481445e+00
9.801338315010070801e-01 6.313369423151016235e-02 9.886818528175354004e-01 4.120131209492683411e-02 2.718387842178344727e+00
9.798501133918762207e-01 6.545506417751312256e-02 9.880810976028442383e-01 4.313934221863746643e-02 2.752051830291748047e+00
9.810352921485900879e-01 6.138140335679054260e-02 9.886819124221801758e-01 4.181476309895515442e-02 2.933189868927001953e+00
9.794995188713073730e-01 6.578424572944641113e-02 9.883814454078674316e-01 4.214718192815780640e-02 1.813721895217895508e+00
9.802172780036926270e-01 6.730151921510696411e-02 9.868791103363037109e-01 4.434303939342498779e-02 2.935946464538574219e+00
